"User","Card","Year","Month","Day","Time","Amount","Use_Chip","Merchant_Name","Merchant_City","Merchant_State","Zip","MCC","Error","Is_Fraud","time_period","amount_num","amount_num_range"
0,0,2002,9,1,"06:21:00","$134.09","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",134.09,"Medium Value"
0,0,2002,9,1,"06:42:00","$38.48","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",38.48,"Low Value"
0,0,2002,9,2,"06:22:00","$120.34","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",120.34,"Medium Value"
0,0,2002,9,2,"17:45:00","$128.95","Swipe Transaction","3414527459579106770","Monterey Park","CA","91754.0",5651,"no error","No","evening",128.95,"Medium Value"
0,0,2002,9,3,"06:23:00","$104.71","Swipe Transaction","5817218446178736267","La Verne","CA","91750.0",5912,"no error","No","Morning",104.71,"Medium Value"
0,0,2002,9,3,"13:53:00","$86.19","Swipe Transaction","-7146670748125200898","Monterey Park","CA","91755.0",5970,"no error","No","Afternoon",86.19,"Medium Value"
0,0,2002,9,4,"05:51:00","$93.84","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",93.84,"Medium Value"
0,0,2002,9,4,"06:09:00","$123.50","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",123.5,"Medium Value"
0,0,2002,9,5,"06:14:00","$61.72","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",61.72,"Medium Value"
0,0,2002,9,5,"09:35:00","$57.10","Swipe Transaction","4055257078481058705","La Verne","CA","91750.0",7538,"no error","No","Morning",57.1,"Medium Value"
0,0,2002,9,5,"20:18:00","$76.07","Swipe Transaction","-4500542936415012428","La Verne","CA","91750.0",5814,"no error","No","evening",76.07,"Medium Value"
0,0,2002,9,5,"20:41:00","$53.91","Online Transaction","-9092677072201095172","ONLINE","Unknown","Unknown",4900,"no error","No","evening",53.91,"Medium Value"
0,0,2002,9,6,"06:16:00","$110.37","Swipe Transaction","2027553650310142703","Mira Loma","CA","91752.0",5541,"no error","No","Morning",110.37,"Medium Value"
0,0,2002,9,7,"06:16:00","$117.05","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",117.05,"Medium Value"
0,0,2002,9,7,"06:34:00","$45.30","Swipe Transaction","-5475680618560174533","Monterey Park","CA","91755.0",5942,"no error","No","Morning",45.3,"Low Value"
0,0,2002,9,7,"09:39:00","$29.34","Swipe Transaction","4055257078481058705","La Verne","CA","91750.0",7538,"no error","No","Morning",29.34,"Low Value"
0,0,2002,9,8,"06:10:00","$147.45","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",147.45,"Medium Value"
0,0,2002,9,8,"06:38:00","$27.75","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",27.75,"Low Value"
0,0,2002,9,8,"13:48:00","$76.57","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Afternoon",76.57,"Medium Value"
0,0,2002,9,8,"22:01:00","$22.56","Swipe Transaction","-6733168469687845480","Mira Loma","CA","91752.0",7832,"no error","No","Night",22.56,"Low Value"
0,0,2002,9,9,"06:54:00","$37.50","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",37.5,"Low Value"
0,0,2002,9,9,"09:40:00","$65.50","Swipe Transaction","-3345936507911876459","La Verne","CA","91750.0",7538,"Technical Glitch","No","Morning",65.5,"Medium Value"
0,0,2002,9,9,"13:19:00","$56.42","Swipe Transaction","3189517333335617109","La Verne","CA","91750.0",5311,"no error","No","Afternoon",56.42,"Medium Value"
0,0,2002,9,9,"13:31:00","$2.71","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Afternoon",2.71,"Low Value"
0,0,2002,9,9,"20:02:00","$144.90","Online Transaction","-8338381919281017248","ONLINE","Unknown","Unknown",4899,"no error","No","evening",144.9,"Medium Value"
0,0,2002,9,10,"06:20:00","$160.00","Swipe Transaction","-4282466774399734331","Mira Loma","CA","91752.0",4829,"no error","No","Morning",160.0,"Medium Value"
0,0,2002,9,10,"06:22:00","$102.18","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",102.18,"Medium Value"
0,0,2002,9,10,"06:31:00","$36.73","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",36.73,"Low Value"
0,0,2002,9,10,"21:39:00","$29.33","Swipe Transaction","-6733168469687845480","Mira Loma","CA","91752.0",7832,"no error","No","Night",29.33,"Low Value"
0,0,2002,9,11,"06:28:00","$162.39","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",162.39,"Medium Value"
0,0,2002,9,11,"06:33:00","$34.40","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",34.4,"Low Value"
0,0,2002,9,11,"13:06:00","$62.06","Swipe Transaction","2027553650310142703","Mira Loma","CA","91752.0",5541,"no error","No","Afternoon",62.06,"Medium Value"
0,0,2002,9,11,"13:17:00","$-99.00","Swipe Transaction","2027553650310142703","Mira Loma","CA","91752.0",5541,"no error","No","Afternoon",99.0,"Medium Value"
0,0,2002,9,11,"13:23:00","$99.00","Swipe Transaction","2027553650310142703","Mira Loma","CA","91752.0",5541,"no error","No","Afternoon",99.0,"Medium Value"
0,0,2002,9,11,"19:30:00","$80.18","Swipe Transaction","-1605794445852049456","La Verne","CA","91750.0",5812,"no error","No","evening",80.18,"Medium Value"
0,0,2002,9,12,"06:21:00","$122.10","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"Insufficient Balance","No","Morning",122.1,"Medium Value"
0,0,2002,9,12,"06:26:00","$92.76","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",92.76,"Medium Value"
0,0,2002,9,12,"06:50:00","$52.52","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",52.52,"Medium Value"
0,0,2002,9,12,"11:43:00","$1.13","Swipe Transaction","6666504894937430109","La Verne","CA","91750.0",5499,"no error","No","Morning",1.13,"Low Value"
0,0,2002,9,13,"06:22:00","$126.79","Swipe Transaction","1913477460590765860","La Verne","CA","91750.0",5300,"no error","No","Morning",126.79,"Medium Value"
0,0,2002,9,13,"06:37:00","$44.41","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",44.41,"Low Value"
0,0,2002,9,14,"06:09:00","$164.37","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",164.37,"Medium Value"
0,0,2002,9,14,"13:08:00","$12.76","Swipe Transaction","-4500542936415012428","La Verne","CA","91750.0",5814,"no error","No","Afternoon",12.76,"Low Value"
0,0,2002,9,15,"05:34:00","$109.94","Swipe Transaction","5817218446178736267","La Verne","CA","91750.0",5912,"no error","No","Morning",109.94,"Medium Value"
0,0,2002,9,15,"06:18:00","$126.29","Swipe Transaction","-245178307025547046","La Verne","CA","91750.0",5311,"no error","No","Morning",126.29,"Medium Value"
0,0,2002,9,15,"06:55:00","$40.81","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",40.81,"Low Value"
0,0,2002,9,15,"13:54:00","$81.35","Swipe Transaction","-5904116920141006298","Diamond Bar","CA","91765.0",5719,"no error","No","Afternoon",81.35,"Medium Value"
0,0,2002,9,16,"06:00:00","$115.34","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",115.34,"Medium Value"
0,0,2002,9,16,"06:45:00","$44.25","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",44.25,"Low Value"
0,0,2002,9,17,"06:09:00","$120.19","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"Insufficient Balance","No","Morning",120.19,"Medium Value"
0,0,2002,9,17,"06:24:00","$159.72","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",159.72,"Medium Value"
0,0,2002,9,18,"06:19:00","$128.85","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",128.85,"Medium Value"
0,0,2002,9,18,"20:01:00","$92.30","Swipe Transaction","-4500542936415012428","La Verne","CA","91750.0",5814,"no error","No","evening",92.3,"Medium Value"
0,0,2002,9,19,"06:25:00","$168.11","Swipe Transaction","5817218446178736267","La Verne","CA","91750.0",5912,"no error","No","Morning",168.11,"Medium Value"
0,0,2002,9,19,"09:42:00","$53.09","Swipe Transaction","4055257078481058705","La Verne","CA","91750.0",7538,"no error","No","Morning",53.09,"Medium Value"
0,0,2002,9,20,"06:01:00","$104.77","Swipe Transaction","-245178307025547046","La Verne","CA","91750.0",5311,"Insufficient Balance","No","Morning",104.77,"Medium Value"
0,0,2002,9,20,"06:17:00","$119.69","Swipe Transaction","-245178307025547046","La Verne","CA","91750.0",5311,"no error","No","Morning",119.69,"Medium Value"
0,0,2002,9,21,"06:27:00","$145.50","Swipe Transaction","2027553650310142703","Mira Loma","CA","91752.0",5541,"no error","No","Morning",145.5,"Medium Value"
0,0,2002,9,21,"06:47:00","$48.34","Swipe Transaction","-5475680618560174533","Monterey Park","CA","91755.0",5942,"no error","No","Morning",48.34,"Low Value"
0,0,2002,9,21,"14:23:00","$2.79","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Afternoon",2.79,"Low Value"
0,0,2002,9,22,"06:50:00","$47.51","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",47.51,"Low Value"
0,0,2002,9,22,"09:29:00","$51.98","Swipe Transaction","4055257078481058705","La Verne","CA","91750.0",7538,"no error","No","Morning",51.98,"Medium Value"
0,0,2002,9,22,"09:37:00","$82.90","Swipe Transaction","3952145593743244256","La Verne","CA","91750.0",7538,"no error","No","Morning",82.9,"Medium Value"
0,0,2002,9,22,"20:16:00","$76.37","Swipe Transaction","-5023497618971072366","Mira Loma","CA","91752.0",5812,"no error","No","evening",76.37,"Medium Value"
0,0,2002,9,23,"06:01:00","$134.89","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",134.89,"Medium Value"
0,0,2002,9,23,"06:46:00","$35.28","Swipe Transaction","-34551508091458520","La Verne","CA","91750.0",5912,"no error","No","Morning",35.28,"Low Value"
0,0,2002,9,23,"20:26:00","$80.65","Swipe Transaction","-4500542936415012428","La Verne","CA","91750.0",5814,"no error","No","evening",80.65,"Medium Value"
0,0,2002,9,24,"06:07:00","$112.67","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",112.67,"Medium Value"
0,0,2002,9,25,"06:19:00","$162.26","Swipe Transaction","5817218446178736267","La Verne","CA","91750.0",5912,"no error","No","Morning",162.26,"Medium Value"
0,0,2002,9,25,"06:36:00","$39.38","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",39.38,"Low Value"
0,0,2002,9,25,"13:01:00","$55.76","Swipe Transaction","-1288082279022882052","La Verne","CA","91750.0",5499,"no error","No","Afternoon",55.76,"Medium Value"
0,0,2002,9,25,"13:10:00","$100.00","Swipe Transaction","-1288082279022882052","La Verne","CA","91750.0",5499,"no error","No","Afternoon",100.0,"Medium Value"
0,0,2002,9,25,"13:14:00","$-100.00","Swipe Transaction","-1288082279022882052","La Verne","CA","91750.0",5499,"no error","No","Afternoon",100.0,"Medium Value"
0,0,2002,9,26,"06:25:00","$93.37","Swipe Transaction","3527213246127876953","La Verne","CA","91750.0",5300,"no error","No","Morning",93.37,"Medium Value"
0,0,2002,9,27,"06:21:00","$199.71","Swipe Transaction","-727612092139916043","Monterey Park","CA","91754.0",5411,"no error","No","Morning",199.71,"Medium Value"
0,0,2002,9,27,"08:01:00","$23.18","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",23.18,"Low Value"
0,0,2002,9,27,"09:42:00","$57.64","Swipe Transaction","4055257078481058705","La Verne","CA","91750.0",7538,"no error","No","Morning",57.64,"Medium Value"
0,0,2002,9,28,"05:36:00","$78.46","Swipe Transaction","4060646732831064559","La Verne","CA","91750.0",5411,"no error","No","Morning",78.46,"Medium Value"
0,0,2002,9,28,"06:23:00","$141.70","Swipe Transaction","5817218446178736267","La Verne","CA","91750.0",5912,"no error","No","Morning",141.7,"Medium Value"
0,0,2002,9,28,"09:32:00","$55.41","Swipe Transaction","4055257078481058705","La Verne","CA","91750.0",7538,"no error","No","Morning",55.41,"Medium Value"
0,0,2002,9,28,"13:13:00","$153.36","Swipe Transaction","7945328079774550558","La Verne","CA","91750.0",4900,"no error","No","Afternoon",153.36,"Medium Value"
